Nama,Negara,Tipe Kamar,Durasi Menginap,Tanggal Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Judul,Komentar
"Ardi","Indonesia","Three Bedroom Private Pool Villa","1 night","May 2024","Group","May 14, 2024","8.0","Very Good","Positif:  | Negatif: "
"Jake","Singapore","Deluxe One Bedroom Private Pool Villa","4 nights","May 2024","Couple","May 13, 2024","7.0","Good","Positif:  | Negatif: "
"Gusti","Indonesia","Three Bedroom Private Pool Villa","2 nights","January 2024","Group","January 1, 2024","6.0","Pleasant","Positif:  | Negatif: "
"Ahmad","Saudi Arabia","Two Bedroom Private Pool Villa","4 nights","July 2023","Family","July 26, 2023","8.0","Very Good","Positif:  | Negatif: "
"Khaled","Saudi Arabia","Deluxe One Bedroom Private Pool Villa","2 nights","April 2025","Couple","June 7, 2025","10","Exceptional","Positif:  | Negatif: "
"Lu","Malaysia","Two Bedroom Private Pool Villa","3 nights","October 2024","Family","October 11, 2024","1.0","Bad","Positif:  | Negatif: "
"Respito","Indonesia","One Bedroom Private Pool Villa","1 night","February 2024","Couple","February 5, 2024","10","Exceptional","Positif:  | Negatif: "
"Mirah","Indonesia","One Bedroom Private Pool Villa","1 night","January 2024","Family","February 1, 2024","10","Exceptional","Positif:  | Negatif: "
"Putu","Indonesia","Two Bedroom Private Pool Villa","1 night","January 2024","Family","January 9, 2024","9.0","Wonderful","Positif:  | Negatif: "
"Fatmanur","Australia","One Bedroom Private Pool Villa","3 nights","October 2023","Couple","January 3, 2024","5.0","Fair","Positif:  | Negatif: "
"Marmer","Indonesia","Three Bedroom Private Pool Villa","1 night","December 2023","Family","December 26, 2023","9.0","Wonderful","Positif:  | Negatif: "
"Robbi","India","Deluxe One Bedroom Private Pool Villa","5 nights","November 2023","Couple","November 23, 2023","10","Exceptional","Positif:  | Negatif: "
"Alldy","New Zealand","Two Bedroom Private Pool Villa","3 nights","October 2023","Group","October 7, 2023","9.0","Wonderful","Positif:  | Negatif: "
"April","Australia","Two Bedroom Private Pool Villa","4 nights","September 2023","Family","September 13, 2023","10","Exceptional","Positif:  | Negatif: "
"Muhd","Malaysia","Three Bedroom Private Pool Villa","2 nights","August 2023","Group","September 11, 2023","9.0","Wonderful","Positif:  | Negatif: "
"Codie","Australia","Two Bedroom Private Pool Villa","3 nights","July 2023","Group","August 22, 2023","10","Exceptional","Positif:  | Negatif: "
"Praveen","India","Three Bedroom Private Pool Villa","1 night","July 2023","Group","July 30, 2023","10","Exceptional","Positif:  | Negatif: "
"Praveen","India","Three Bedroom Private Pool Villa","3 nights","July 2023","Couple","July 24, 2023","10","Exceptional","Positif:  | Negatif: "
"Windy","Indonesia","Three Bedroom Private Pool Villa","2 nights","December 2025","Family","January 9, 2026","7.0","Good","Positif:  | Negatif: "
"Pierre","France","Three Bedroom Private Pool Villa","6 nights","August 2025","Group","September 7, 2025","8.0","Very Good","Positif:  | Negatif: "
"Hung","Taiwan","Three Bedroom Private Pool Villa","1 night","February 2024","Group","February 8, 2024","7.0","Good","Positif:  | Negatif: "
"Zohair","France","Deluxe One Bedroom Private Pool Villa","2 nights","October 2023","Couple","October 1, 2023","8.0","Very Good","Positif:  | Negatif: "
"Made","Indonesia","Two Bedroom Private Pool Villa","1 night","September 2023","Group","September 4, 2023","8.0","Suasana Sangat Tenang dan udara sangatlah sejuk staf yg ramah dan penuh dengan senyuman","Positif:  | Negatif: "
"Elisse","Indonesia","Three Bedroom Private Pool Villa","1 night","August 2023","Family","August 3, 2023","7.0","Good","Positif:  | Negatif: "
"Hussain","Saudi Arabia","Deluxe One Bedroom Private Pool Villa","5 nights","November 2025","Couple","December 4, 2025","1.0","Bad","Positif:  | Negatif: "
"محمد","Saudi Arabia","Deluxe One Bedroom Private Pool Villa","1 night","August 2025","Couple","August 8, 2025","10","Exceptional","Positif:  | Negatif: "
"Abdulkhaliq","Saudi Arabia","Deluxe One Bedroom Private Pool Villa","3 nights","May 2025","Couple","May 28, 2025","10","Exceptional","Positif:  | Negatif: "
"Ali","Saudi Arabia","Two Bedroom Private Pool Villa","3 nights","July 2024","Family","July 30, 2024","4.0","Disappointing","Positif:  | Negatif: "
"Hassan","United Arab Emirates","Deluxe One Bedroom Private Pool Villa","3 nights","June 2024","Couple","July 8, 2024","10","Exceptional","Positif:  | Negatif: "
"Ka","Malaysia","Three Bedroom Private Pool Villa","5 nights","April 2024","Group","April 6, 2024","10","Exceptional","Positif:  | Negatif: "
"Joana","Portugal","One Bedroom Private Pool Villa","2 nights","October 2023","Couple","November 21, 2023","9.0","Wonderful","Positif:  | Negatif: "
"Laurine","France","Three Bedroom Private Pool Villa","2 nights","September 2023","Group","September 19, 2023","10","Exceptional","Positif:  | Negatif: "
"Bley","France","Deluxe One Bedroom Private Pool Villa","4 nights","September 2023","Couple","September 17, 2023","9.0","Wonderful","Positif:  | Negatif: "
"Surapong","Thailand","Three Bedroom Private Pool Villa","2 nights","July 2023","Group","July 28, 2023","9.0","Wonderful","Positif:  | Negatif: "
