Nama,Negara,Tipe Kamar,Detail Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Evaluasi,Judul,Komentar
"Sandeepkumar","Australia","Two Bedroom Pool Villa","Stayed 5 nights in March 2024","Family with young children","March 31, 2024","4.0","","Wasn't worth it","We booked seeing how the price was lower compared to other properties in Ubud. We thought because we have a car it should be ok however, I was very wrong. The drive alone to Ubud centre is around 30 min. The road are extremely narrow and hilly. The ladies staff knew what they were doing. They were welcoming. But out experience with the male receptionist wasn't great. He treated us like 3rd class citizens, after bringing this up with him and criticizing his behaviour he doubled down and suddenly become "nice". Food wasn't too bad. But there was 21% TAX. Just too much. And the massage was expensive and has 23% tax. We weren't charged this much with our stay in Seminyak. Wouldn't be staying here again. I would advice travellers to do their due diligence before booking anywhere. Photos are not all what they seem."
"Dipesh","India","One Bedroom Pool Villa","Stayed 2 nights in March 2024","Family with young children","March 25, 2024","4.8","","Need better rooms","The rooms were good, but need better management and rooms should have been much more cleaner and better managed."
"Jesse","Japan","Two Bedroom Pool Villa","Stayed 3 nights in December 2023","Family with young children","March 22, 2024","5.2","","Above average","The locations is away from all amenities. The rooms provide a great private place for the family"
"Muhammad","Indonesia","One Bedroom Pool Villa","Stayed 1 night in March 2024","Couple","March 22, 2024","9.2","Exceptional","Recommended","overall recommended hanya lokasi saja yang agak jauh dan jalannya kecil"
"Bimal","Australia","One Bedroom Pool Villa","Stayed 2 nights in March 2024","Couple","March 14, 2024","9.2","Exceptional","Good villa experience","Location is bit isolated from Ubud city, however can experience local Balinise experience and country side communities. All are welcoming and humble with us. Definitely would recommend someone who like calm and quiet and nature lover."
"jill","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in March 2024","Family with teens","March 12, 2024","8.8","Excellent","Menyenangkan","Lokasi cukup jauh dr jalan utama, tapi suasananya tenang, sejuk, asri, private pool tdk trll besar tp ok lah, tv hanya ada di luar di ruang duduk, ada dapur tapi tidak ada peralatan masak, kamar tidur nyaman, kamar mandi utama luas."
"Faziatul","Malaysia","Two Bedroom Pool Villa","Stayed 1 night in March 2024","Family with teens","March 11, 2024","9.6","Exceptional","Love it","We had to check out earlier (5am) because we had a plan to nusa penida so they give us a breakfast box to exchange with our free breakfast that supposedly start at 7am. And they have a very helpful staff⭐️⭐️⭐️⭐️👍👍"
"Sazarin","Singapore","Deluxe One Bedroom Private Pool Villa","Stayed 3 nights in March 2024","Couple","March 06, 2024","10.0","Exceptional","Best vacation","The very best vacation i ever had. The serenity and surrounding paddy field provided me with the best rest that i really need."
"cecilia","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in November 2023","Couple","March 04, 2024","9.6","Exceptional","Good stay","Villa bersih, staff ramah, lokasi cukup oke, untuk yang cari lokasi healing ini cocok sekali. Privacy terjaga baik"
"Ray","Singapore","Three Bedroom Private Pool Villa","Stayed 2 nights in October 2023","Group","March 03, 2024","9.6","Exceptional","Holiday villa","Clean and very hospitable staff. Had a really pleasant stay here."
"Amlan","Singapore","One Bedroom Pool Villa","Stayed 1 night in December 2023","Couple","February 20, 2024","8.0","Excellent","Decent stay","Was a decent stay but u do get insects at night, the pillowcase was not changed had previous guest make up and lipstick marks."
"Nirvana","Australia","Two Bedroom Pool Villa","Stayed 2 nights in February 2024","Group","February 18, 2024","2.8","","the place was filthy","Room was not clean .....fill with bug, someone cut nail inside the room, sheet was dirty....staff not friendly.....cat ate our food....pool area was broken"
"Hendi","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in January 2024","Couple","February 16, 2024","10.0","Exceptional","happy!","First! the bathroom is very spacious! Ah, I really enjoyed it when I stayed here! nice!"
"Meilisa","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in February 2024","Group","February 10, 2024","10.0","Exceptional","Ok","Ok"
"Arpita","India","One Bedroom Pool Villa","Stayed 3 nights in January 2024","Couple","January 31, 2024","7.2","Very good","Pleasant stay it was.","The location of the villa is bit far but if you want peace, privacy then this will be the right place for you. It’s in north ubud basically. First 3 days of my bali trip I stayed here. There will be some communication problem if you don’t know indonesian language, they understood english very little."
"I","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in January 2024","Family with young children","January 29, 2024","9.6","Exceptional","Exceptional","clean and great staff"
"Lenita","Indonesia","One Bedroom Pool Villa","Stayed 3 nights in July 2023","Couple","January 19, 2024","8.0","Excellent","All good","Same like all villas in bali"
"Evelin","New Zealand","Two Bedroom Pool Villa","Stayed 3 nights in January 2024","Family with teens","January 15, 2024","8.0","Excellent","Tranquil and private","Reviving your body, soul, and mind. Real rest if that is what you are looking for."
"Hendrik","Indonesia","Three Bedroom Private Pool Villa","Stayed 2 nights in December 2023","Family with young children","January 06, 2024","6.8","Good","Nice place","Nice place for vacation"
"Erina","Indonesia","One Bedroom Pool Villa","Stayed 1 night in December 2023","Couple","January 04, 2024","10.0","Exceptional","Exceptional","Baguss cocok untuk honeymoon"
"Erina","Indonesia","One Bedroom Pool Villa","Stayed 1 night in December 2023","Couple","January 04, 2024","9.6","Exceptional","Exceptional","Villa baguss dan ditengah sawah, cocok banget untuk honeymoon"
"MIJIN","Malaysia","Two Bedroom Pool Villa","Stayed 2 nights in December 2023","Family with teens","December 15, 2023","9.2","Exceptional","Private and relaxing","30 minutes by car from Ubud Center. A private and quiet villa in the middle of the rice fields. My teenage daughters and my husband. We end our tiring trip with a break in the villa. Well-organized bedding and a covered swimming pool. And delicious food and attentive staff. I wish to come again next time🤩"
"Inna","Ukraine","One Bedroom Pool Villa","Stayed 3 nights in December 2023","Couple","December 13, 2023","8.4","Excellent","Helpful stuff and beautiful villa","Nice villa and helpful people around, great food and spa as well. The only things is location . Too far from everything"
"Kate","Indonesia","Three Bedroom Private Pool Villa","Stayed 1 night in October 2023","Group","November 27, 2023","9.2","Exceptional","Lovely but in the middle of nowhere","We misread the location of this place on Google maps and did not realize how far out of town it was. The hotel itself was lovely but grab won't pick up there, so make sure you organize a return transfer before you go. I think it would be perfect for a girls getaway where you want peace and quiet"
"vanessa","South Korea","Three Bedroom Private Pool Villa","Stayed 5 nights in October 2023","Family with young children","November 08, 2023","10.0","Exceptional","Absolutely amazing 🤩","It was absolutely amazing. The staff, the food, our villa, the amenities, the pool etc."
"Tiju","Australia","Two Bedroom Pool Villa","Stayed 2 nights in October 2023","Family with young children","October 27, 2023","8.8","Excellent","Great location and facilities","We stayed at the villa for 2 nights. Great location and facilities. But would be good if they can provide a microwave for heating up stuff."
"rajul","India","Two Bedroom Villa With Private Pool","Stayed 2 nights in October 2023","Group","October 26, 2023","9.2","Exceptional","Perfect homestay away from chaos","We stayed there for two days, it was an amazing property with great interiors and view. They served good breakfast. Services were good. Location was not near by centre but not that too far."
"Ester","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in October 2023","Family with young children","October 08, 2023","10.0","Exceptional","Exceptional","So happy to stay here. Feel like at home. The staff is really kind and helpfull. I join private yoga session and i'm so happy with this experience."
"Aminath","Malaysia","Two Bedroom Pool Villa","Stayed 3 nights in September 2023","Group","September 18, 2023","10.0","Exceptional","Amazingly peaceful","Highly recommend the hotel if you're looking for a peaceful getaway. The food in the restaurant was just okay though. Hope the hotel improves on the food as it was the only thing lacking."
"Nur","Malaysia","Deluxe One Bedroom Private Pool Villa","Stayed 3 nights in August 2023","Couple","September 15, 2023","10.0","Exceptional","Love","suitable for people who love peace. cold area and a bit outskirt. via motorcycle recommended to feel the village vibes."
"Oudomseila","Cambodia","Deluxe One Bedroom Villa with Private Pool","Stayed 1 night in August 2023","Couple","September 01, 2023","3.2","","Worst front desk receptionist","Need more training dealing with customer and still with limited staff- front desk receptionist made us carry our own luggage about 100m to our villa- villa was beautiful only thing great was the living area."
"Michael","Indonesia","Three Bedroom Private Pool Villa","Stayed 2 nights in August 2023","Family with teens","August 27, 2023","6.4","Good","Good Villa but unfortunately the service need more attention.","My family and I travel to bali and would like to spend a great family time. We arrive here at 9pm because of traffic. Great hotel IMHO. The ambiance is good. But unfortunately some major issue happen. We book early. But the hotel don't prepare the room that we requested. The internet is very not stable. One of the crucial things to have in nature resort for us. And also the tv got broken led line. And the hot water is not fully function. Can you imagine with the temperature of ubud. Hot water is one of the top priority. And when we complain, all the staff has gone by 11pm. Only security. And they can't do anything. We complain but same trouble happen again."
"Dini","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in July 2023","Couple","August 21, 2023","10.0","Exceptional","One bedroom villa","We have amazing stay in this villas, the scenery,the vibes,really relaxing and calm. Best for couple for honeymoon. Thanks!"
"Harry","United States","Two Bedroom Pool Villa","Stayed 3 nights in August 2023","Family with young children","August 18, 2023","9.6","Exceptional","Beautiful villas and very peaceful","A bit of a drive from central Ubud but very quiet and peacful place. Very beautiful area and the staff are very friendly and helpful."
"Vinay","United States","Three Bedroom Private Pool Villa","Stayed 2 nights in August 2023","Group","August 09, 2023","10.0","Exceptional","Exceptional","Very nice villas and amazing prices."
"Ma","Hong Kong SAR, China","Two Bedroom Pool Villa","Stayed 4 nights in July 2023","Group","July 27, 2023","4.8","","Disappointed and unacceptable stay","First of all the front desk is not 24/7 meaning if you need anything or have any issue with your room after midnight no one can help you or even pick up the call. Second, we asked for refill body wash and even take the pump out to let them know, they do not refill and simply put back the lid and put back into the shower. Third, they do not give clean towers. We have 5 people and one night they do not take the used one away from the laundry bag and only gave us 2 new towels. Lastly, the staff is not of much helpful and did not really help us to solve all the above complaints. Overall it has not been a pleasant stay."
"Claro","Philippines","Three Bedroom Private Pool Villa","Stayed 2 nights in July 2023","Family with young children","July 09, 2023","9.6","Exceptional","Highly recommended villa in ubud","The location was perfect for us as it was not in the busy ubud center. I feel so close to nature during our stay."
"Maria","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in June 2023","Couple","July 01, 2023","10.0","Exceptional","Best Villa","Clean & warm Villa"
"Heny","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in June 2023","Solo traveler","June 16, 2023","9.2","Exceptional","Exceptional","The place is beautiful and big. My only advice is cleanliness for kitchenette. The cup and plate is tainted"
"Vivek","India","Two Bedroom Pool Villa","Stayed 2 nights in June 2023","Couple","June 15, 2023","4.4","","Good Property but poor service","From check in to check out everything was not done properly. In our 2 nights stay noone came for room cleaning. Despite many calls no proper response was received. Even staff behaviour was very rude. And despite having free breakfast package we were charged wrongly. Won’t recommend this property to anyone."
"Mutia","Singapore","Three Bedroom Private Pool Villa","Stayed 4 nights in June 2023","Family with young children","June 14, 2023","8.0","Excellent","Great stay for families or group","We love our stay in Daun Lebar Villa Ubud. Nice view of rice field surrounding the villa. We stay 4nights at the 3bedrooms villa. The staffs are great and super accomodating. Recommended!!! Tips: try to reach the villa before sunset, as the road going there is dark with minimum road light so if you are driving there in the night, need to be very careful."
"Sintia","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in August 2022","Couple","June 10, 2023","9.6","Exceptional","Exceptional","Tempat nya sangat jauh dari kota, bersih, makanan lumayan enak"
"Mofidul","India","One Bedroom Pool Villa","Stayed 4 nights in May 2023","Family with young children","May 26, 2023","7.6","Very good","Unlimited serenity in the middle of paddy fields","It was a great location for people who want to stay in the middle of natural surrounding. No hustle bustle of the Ubud city. Beautiful villas with private pools. Excellent room service and very accommodating staffs. On the limitations, there’s isn’t much option from in-house restaurant. Also, getting a taxi or a regular cab for daily commuting is difficult. However the reception can arrange cab in a short time. Look forward to my detailed review on Trip Advisor."
"MOHAMED","Singapore","One Bedroom Pool Villa","Stayed 2 nights in May 2023","Couple","May 07, 2023","7.2","Very good","Very good","The villa is quite a distance from Ubud Center. It’s about 20mins drive."
"ANA","Philippines","Three Bedroom Private Pool Villa","Stayed 1 night in May 2023","Business traveler","May 06, 2023","10.0","Exceptional","Exceptional","The best!"
"Anandkumar","Singapore","Two Bedroom Pool Villa","Stayed 2 nights in May 2023","Family with young children","May 06, 2023","9.6","Exceptional","Best place for peace lovers","If you want to get away from the city life, Daun Lebar is the best choice.Remote and away from the noises. Pleasant surroundings. Wonderful staffs. Good food. All together a happy stay."
"Sie","Indonesia","Three Bedroom Private Pool Villa","Stayed 1 night in May 2023","Couple","May 04, 2023","9.6","Exceptional","Good Villa","Good villa even its far away from City"
"Sefrina","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in April 2023","Family with young children","May 01, 2023","9.6","Exceptional","Favourite villa in Ubud","This is my second visit to the villa. I love everything about the villa, the pool, the interior and exterior. It is really homey."
"Jusak","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in April 2023","Family with teens","April 25, 2023","5.2","",".","."
"Ester","Australia","Three Bedroom Villa","Stayed 3 nights in January 2023","Family with teens","April 03, 2023","8.4","Excellent","Excellent","Friendly helpful staff, clean premises and quiet peaceful location"
"irianti","Indonesia","Three Bedroom Private Pool Villa","Stayed 1 night in October 2022","Family with young children","March 17, 2023","7.6","Very good","very clean","this hotel is very clean, staff very friendly, but the location is too far form center of ubud"
"Yang","Indonesia","Three Bedroom Private Pool Villa","Stayed 3 nights in March 2023","Family with young children","March 13, 2023","10.0","Exceptional","Calm and peaceful place with great staff","Located in secluded area with great exterior and interior. Staff always put a smile on their faces. Our family had a great time visiting Kintamani and Ubud area."
"Ibrahim","Malaysia","Two Bedroom Pool Villa","Stayed 2 nights in October 2022","Group","March 09, 2023","7.6","Very good","Very good","Great place to escape from chaos town"
"Darren","Indonesia","Three Bedroom Private Pool Villa","Stayed 2 nights in February 2023","Family with teens","March 09, 2023","10.0","Exceptional","Good staff","Good staff, very responsible"
"maida","Indonesia","Three Bedroom Private Pool Villa","Stayed 2 nights in February 2023","Family with teens","March 04, 2023","10.0","Exceptional","cleanness","very clean, staf very humble n caring us during our stay"
"Febriani","Indonesia","Three Bedroom Private Pool Villa","Stayed 3 nights in February 2023","Group","March 01, 2023","8.8","Excellent","Ubud Sanctuary","Nestled quite far from ubud central, it's a good option for those who want to be away from busy hustle life. Best for couple to have me time"
"nurmaizurah","Singapore","Two Bedroom Pool Villa","Stayed 3 nights in December 2022","Group","January 31, 2023","5.6","","Above average","Friendly staff but the location is too deep inside. Couldn't rent a bike because its very dangerous to ride there as there were too many steep uphill and downhill."
"Revita","Indonesia","Three Bedroom Private Pool Villa","Stayed 2 nights in December 2022","Family with young children","January 25, 2023","9.6","Exceptional","Good villa at ubud","Villa, room, pool, bed, breakfast, staff all good! Its just we waited 30min for check in at 4pm (which is already pass check in time). And the is so much moth in the morning at the livingroom and kitchen."
"Phi","Hong Kong SAR, China","Two Bedroom Pool Villa","Stayed 2 nights in December 2022","Family with young children","January 18, 2023","7.2","Very good","serene place","nice villa layout. must review bedsheet, pillow cleaniness"
"Benito","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in August 2022","Couple","January 01, 2023","9.2","Exceptional","Fantastic place","Going here with toddler, everythings perfect"
"Charles","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in December 2022","Group","December 25, 2022","10.0","Exceptional","BAGUS BANGET!!","Best accommodations for its price!"
"Wai","Singapore","Two Bedroom Pool Villa","Stayed 4 nights in December 2022","Family with young children","December 07, 2022","8.8","Excellent","Excellent","Overall stay is good there. Kids love the pool in the villa."
"Riva","Indonesia","Three Bedroom Villa","Stayed 1 night in November 2022","Family with teens","November 25, 2022","10.0","Exceptional","BEST IN UBUD","BEST BEST BEST"
"Talwinder","India","One Bedroom Pool Villa","Stayed 2 nights in November 2022","Couple","November 23, 2022","10.0","Exceptional","Nice place","Staff at villa is very nice and helpful.Always smiling.cleanliness is good .very close to ubud city"
"Jimmy","Singapore","Three Bedroom Villa","Stayed 3 nights in November 2022","Group","November 17, 2022","5.6","","Above average","The villa seems rather run down in the interiors and the cleanliness is kinda lacking, especially for the living and dining area which is really dirty. The dining table and dining chairs as well as the sofa has really bad stains and the fridge was really dirty. The room and the toilet is alright. But overall, i think the cleanliness can be improved much more. The location of the accommodation is really very far in. Around 30mins from Ubud central. However, it was rather cooling with the natural wind and higher altitude temperature. The location might not be recommended for groups whereby transportation is a consideration."
"Qubra","Sweden","Three Bedroom Villa","Stayed 2 nights in November 2022","Family with young children","November 17, 2022","9.6","Exceptional","Beautiful and peaceful","Nice villa , and sooo peaceful. The neighbor hood its just awesome . Super friendly peoples 😍"
"Siti","Malaysia","Two Bedroom Pool Villa","Stayed 2 nights in October 2022","Group","November 02, 2022","9.2","Exceptional","Perfect idyllic with the best hospitality :)","We spent 2 nights and we're loving every single minute of our stay. Staff were very helpful especially when I fell off the scooter and sprained my leg. Thank you Mbak Jenny for that good massage. Daun Lebar was definitely the highlight of our Bali trip!"
"LIANA","Indonesia","Three Bedroom Villa","Stayed 2 nights in September 2022","Family with teens","September 21, 2022","9.2","Exceptional","nice villa","enjoyed our stay. villa is huge, rooms n pool are also nice. bfast were good. only little things to improve, there was leaking in masterbedroom (i believe from AC). they should replace bath towels, face towels, all floor mate …inappropriate look already. and please provide bigger trash bin in kitchn area. tks"
"Ho","Singapore","One Bedroom Pool Villa","Stayed 3 nights in September 2022","Couple","September 13, 2022","8.4","Excellent","Secluded and quiet","It's 30 mins car ride fr Ubud Center. In a quiet village. We love the seclusion. The property is big but bec of its surroundings expect some insects ard the property. But not mosquito for sure. There's no bedroom slippers when asked. Beautiful rice padi outside the property. And a bamboo walkway fr a nearby spa."
"Gayatri","Canada","Two Bedroom Pool Villa","Stayed 4 nights in September 2022","Couple","September 13, 2022","10.0","Exceptional","So cute","Loved it!!!"
"Phi","Australia","Two Bedroom Pool Villa","Stayed 2 nights in August 2022","Couple","September 02, 2022","8.8","Excellent","Great design. Not in Ubud as promoted. Need extra maintenance.","Generally, the design looks absolutely great without complaint. However, it's a long 30-minute drive to Ubud center. The kitchen equipped with only 1 plate while my 2-bedroom villa furnished for 4 adults. The bathroom facility needs extra cleaning/maintenance to avoid lime scale built up on those metal shower equipments, or soap scum, water spots, and mineral deposits on glass shower door."
"Crizki","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in August 2022","Group","August 24, 2022","9.6","Exceptional","RECOMMEND FOR HEAL YOUR MIND","The weather is quite cold and far away from the crowd. So peaceful"
"alvin","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in August 2022","Family with teens","August 18, 2022","8.0","Excellent","Location","Too far from centre city & the road quite smooth but narrow. Should pay more attention during driving."
"jae","Australia","Two Bedroom Pool Villa","Stayed 2 nights in August 2022","Couple","August 12, 2022","8.8","Excellent","It's the best for a family or couple","It's the best for a family or couple. It's a really quiet countryside. If you just want to do nothing and rest, this place is perfect"
"Vivek","India","One Bedroom Pool Villa","Stayed 2 nights in July 2022","Couple","July 31, 2022","8.8","Excellent","Isolation","If you are looking for isolated place this is good but the it’s inside a village called penangayan"
"firman","Indonesia","Three Bedroom Villa","Stayed 2 nights in July 2022","Solo traveler","July 30, 2022","10.0","Exceptional","Great staying and staff","I was traveling with the family of 9 and everyone was satisfied with the service, cleanliness and facilities. No single complain from them. You should take your loved ones too and stay at yuis villa if you plan to have a quite with rice fields surrounding you."
"Haryo","Indonesia","Three Bedroom Villa","Stayed 1 night in July 2022","Family with young children","July 28, 2022","9.2","Exceptional","A place to retreat","Very clean, very spacious, quiet, calm, cozy place to relax and forget my hectic daily life at work. I stayed in a well maintained 3 br villa which was fantastic, with combination of modern and traditional design. The space is very generous with complete facilities, good bed, good amenities, good aircon (not really needed since the air is pretty cold). This villa is very worth the money if you are looking for a place to relax and do nothing else but having a quality time with your partner or family. The only downside for me is the distance from main road and the access is pretty narrow. Other than that everything was perfect for me."
"Mierna","Indonesia","Three Bedroom Villa","Stayed 1 night in June 2022","Family with young children","June 28, 2022","10.0","Exceptional","Memorable stay at 3 bedrooms Villa (Pala)","We stayed for 1 night as part of villa hopping life in Bali😁, booked this property through agoda and did not regret it at all. Surrounded by lush green rice field, serene environment, our own private pool with adequate depth. Clean bedrooms, crisps linens. Cool air and lots of plants giving it rural vibes with urban facility (smart tv enable us to binge Man vs Bee). We have fridge to store our children supplies, hot water pot. Tea and local coffee. Would be great if there is also stove and cooking utensils. Friendly and welcoming staffs, attentive and helpful to assist our adversities and exhaustion after driving from denpasar with starving children. Too bad we did not get to experience harvesting activities since the crops did not grow well due to the season. Definetely will recommend to other families to stay here. Thank you Daun Lebar team."
"yuni","Indonesia","One Bedroom Pool Villa","Stayed 1 night in September 2020","Family with teens","September 25, 2020","8.8","Excellent","Nice place and friendly staff",""
"Hizkia","Indonesia","One Bedroom Pool Villa","Stayed 1 night in September 2020","Couple","September 10, 2020","10.0","Exceptional","Best place to relax and escape","New Villas in Payangan, Ubud. The Villas surrounded by rice fields and so relaxing. The staff so friendly, the butler was excellent service. The floating breakfast so good! So tasty. The wifi just a bit low connection sometimes. the facilities inside villa is cool. The bed is spacious and the pillow so good. Definitely will return"
"Pratnya","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in August 2020","Family with young children","August 26, 2020","10.0","Exceptional","Clean & Superb Vacay","We choose to stay here after browsing for reviews. The fact that the villa has private pool and private kitchen make us really secure during these times. Facilities are really clean, service is truly great, the hotel staff remember my kids nicknames. Quick serving time whenever we call them for assistance. One of our best vacation. Breakfast are abundance & great, sent to our villa. Definitely will be our option in our future holiday to Ubud"
"Gusta","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in December 2019","Family with young children","January 11, 2020","8.8","Excellent","Nice room and pool","Nice room and pool, clean, staff are friendly, no gym."
"Jerome","Singapore","One Bedroom Pool Villa","Stayed 2 nights in December 2019","Couple","January 02, 2020","5.6","","Local Setup... just dial down your expectation","pros: the place is far away from most attractions and is great if you would like to wind down away from the buzz and crowds. Just go for the larger villa that will give you more freedom of space. Cons: the estate lacks maintenience. More attention could be paid to the details, like cobwebs, algae, plastics tips lying around the decking, wasps nest on sofa covering, glass shard on the floor mat etc"
"Ha","","One Bedroom Pool Villa","Stayed 2 nights in November 2019","Couple","November 09, 2019","9.6","Exceptional","delightful stay","Really nice romantic place calm clean good food"
"Wisando","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in October 2019","Family with teens","October 23, 2019","8.0","Excellent","The Resort is Amazing","The location is pretty bad, quite distance from the central ubud but you get the peaceful and serene surrounding. The rooms are fantastic and the staff are friendly"
"Nur","Singapore","One Bedroom Pool Villa","Stayed 1 night in October 2019","Couple","October 23, 2019","9.2","Exceptional","Excellent service","Staff was very friendly and helpful, Villa was a little dirty/dusty except for the pool, it was really clean. They have smart tv so we could play YouTube."
"peter","Australia","One Bedroom Pool Villa","Stayed 2 nights in September 2019","Couple","September 15, 2019","8.0","Excellent","Very good","A great place to go when you want to forget about the world or you simply want to just get amongst the rice fields of Bali either way you will be fully recharged when you leave. It is also true what reviewers are saying about the staff warm and friendly and can't do enough for you. Ubud is a lovely place to truly take in Bali."
"Thy","Vietnam","One Bedroom Pool Villa","Stayed 1 night in September 2019","Couple","September 12, 2019","10.0","Exceptional","Awesome","The hotel was great and worth every cent. Breakfast’s quite limited and not so good though but overall, this villas is perfect for our getaway trip or honeymoon"
"Siska","","One Bedroom Pool Villa","Stayed 2 nights in September 2019","Couple","September 11, 2019","10.0","Exceptional","Comfort place, good food, great service","Very comfy & clean villas, the facility is great, very friendly staffs, very on time & reliable airport transfer service, the free shuttle to ubud centre is very helpful, the food tastei recommend to try the bebek betutu if you have no idea what to order & u feel like to eat whats the local specialty menus. The pool was clean. It was our first time visit and we didn't regret anything we experienced here :)"
"Helen","","One Bedroom Pool Villa","Stayed 7 nights in July 2019","Solo traveler","August 03, 2019","8.8","Excellent","Tranquil, relaxing and peaceful","Daun Lebar is a lovely, smaller complex of boutique villas. I was upgraded from a single bedroom to a double, to allow me to access a larger pool and outdoor living/dining area. The staff are very helpful and attentive. The food is lovely, the grounds and villas superb. I enjoyed bike riding around the village, yoga, multiple massages, day tours to the rice terraces, coffee at Bali Palina and sacred temples. I four wheeled drove up Mt Batur and hiked a short distance to watch the sunrise over Mt Agung then soaked in the hot springs of Lake Batur. Daily shuttle trips into Ubud for shopping and art galleries. An acoustic, resonance healing session at the Pyramids of Chi. I felt safe, secure and enjoyed every minute of my time at Daun Lebar. It is a 35 minute drive to Ubud, but I enjoyed each drive, as it gave me a chance to look at all the villages along the way."
"Chia","Malaysia","One Bedroom Pool Villa","Stayed 1 night in June 2019","Group","June 24, 2019","9.2","Exceptional","Love the villa","The villa was awesome, being upgraded to 3 room villa but actually I wanted 1 room villa because I want to take photo is nicer. But I guess I have no choice they told me it was full. Anyway the 3 room villa was nice too! However, they can improve on the food, it wasn't tasty and the portion is small and of course is much expensive. However we have no choice as there's nothing outside the villa. The villa is located in a secluded area, be prepared to go through dark and depo forest. The floating basket was quite expensive just to rent it for a morning. Overall we enjoyed our stay, I wish I could spent more time."
"Nur'","Malaysia","One Bedroom Pool Villa","Stayed 4 nights in June 2019","Couple","June 13, 2019","9.2","Exceptional","Serene and minimal.","Once you stepped inside the villa, you will feel like you never want to go outside and spend your days relaxing away from all the hassle. Very secluded and great for honeymoon."
"KIM","Malaysia","One Bedroom Pool Villa","Stayed 1 night in May 2019","Couple","June 01, 2019","2.0","","Very dissatisfied","1）The hotel is very remote, the grass is long and not trimmed. After living, I dare not come again. It is very difficult to sleep at night, and is awakened by the sound. 2）We originally booked 2 villas, and the hotel informed that the room was fully booked, so upgrade gave us a villa 3 bed room and gave us a 45min spa & dinner buffet, we agreed, but the hotel staff told us when the day arrived. The room was there again, so he changed back to our original reservation room, but didn't give notice in advance. Fortunately, we used to call to confirm before, otherwise we would have to go back to the city for dinner. We feel that the hotel should not change the room type we booked. Since it is determined that there is no room, after upgrading the room to us, it should not be changed, and without prior notice, I feel that the hotel service is too bad."
"Ahmad","Singapore","Two Bedroom Pool Villa","Stayed 1 night in April 2019","Group","April 10, 2019","10.0","Exceptional","One of the best accommodation ever!","Subject title says it all! Amazing villa with hospitable staffs from start to end. Although the location was pretty far in Ubud, the tranquility of this villa is exceeded my expectation. The rooms were clean and the private pool was just perfect. Would love stay here again for sure!"
"Swee","Malaysia","Two Bedroom Pool Villa","Stayed 1 night in March 2019","Group","March 18, 2019","6.0","","Very far from Ubud town","If you are looking for serene & quiet stay then Daun Lebar is your choice. It is far from town which is not convenient for us if you are looking for cafe, food, massage & shopping. Our unpleasant experience was during heavy rain, the hotel doesn't have a buggy to send us to lobby. Thus we had to walk with a distance with umbrella and nobody assist us to get onto our car."
"Renee","Singapore","Two Bedroom Pool Villa","Stayed 2 nights in March 2019","Group","March 15, 2019","7.6","Very good","Friendliest staff!","First off the location wasn't really best. It's very secluded with no facilities around at all. If you prefer a quiet place to relax then this is a great place, but please remember to stock up some food/snacks because there's nowhere to go if you feel hungry at night! Rooms were clean and the staffs were really polite and helpful and they are always so smiley! Only bad thing is that because of the surroundings, you get alot of big bugs and flies flying around all the time!"
"Nirmal","Australia","One Bedroom Pool Villa","Stayed 3 nights in January 2019","Group","January 24, 2019","3.6","","Dont Go to this Hotel","We were booked for three nights. We complained about the bad odour in our Villa. We were moved to another Villa which was no different. We checked out on the third and the manager asked refund from Agoda"
"Pavan","Singapore","Two Bedroom Pool Villa","Stayed 4 nights in December 2018","Group","January 03, 2019","8.4","Excellent","Secluded & Serene","If you prefer staying within easy access of Ubud (or any other) town and the markets/restaurants it has to offer, then don't stay at Daun Lebar. But if you value a tranquil environment amidst quiet and serene surroundings, then it is a great choice. Allow for 30-45 minutes travel time to Ubud town in all of your plans. The food at the restaurant is quite good. The staff are extremely friendly and helpful."
"Dhivya","Singapore","One Bedroom Pool Villa","Stayed 2 nights in December 2018","Group","December 29, 2018","4.8","","INACESSIBLE PERIOD","Love the staff. Villa was nice but loads of flies and villa gate lock was spoilt. Food was okay but staff were super friendly and helpful. The staff were the best part of this whole place. Really beautiful but far out."
