username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Nicole,Indonesia,Superior Double Room,1 night,Family,05-13-2024 00:00:00,Bad,1.0,fr,L originalité,La salle de bain rouillé et les tâches dans les draps - acces defonce,title: Bad. liked: L originalité. disliked: La salle de bain rouillé et les tâches dans les draps - acces defonce.,,0,0,
Jan,Germany,Superior Double Room,1 night,Solo traveller,12-15-2023 00:00:00,"Eine Nacht wegen der Erfahrung ist nett, mehr aber auch nicht",7.0,de,Cooles Konzept,"Mitten im Nichts, irgendwo an einem brüchigen Feldweg. Leider hatte es an dem Tag ein paar Stunden geregnet, und es war einfach alles feucht und klamm, ohne jemals wieder trocken zu werden","title: Eine Nacht wegen der Erfahrung ist nett, mehr aber auch nicht. liked: Cooles Konzept. disliked: Mitten im Nichts, irgendwo an einem brüchigen Feldweg. Leider hatte es an dem Tag ein paar Stunden geregnet, und es war einfach alles feucht und klamm, ohne jemals wieder trocken zu werden.",,0,0,"Thank you for your feedback. We're glad you appreciated our concept. We apologize for the inconvenience caused by the location and weather conditions. Your input is valuable, and we'll strive to improve. We hope to have the opportunity to exceed your expectations in the future."
Roberta,Italy,Superior Double Room,1 night,Couple,10-04-2023 00:00:00,Va bene per un soggiorno di una notte,6.0,it,"La struttura si presenta bene all'estero, con I containers tutti colorati e lo staff disponibile e accogliente. Va bene per una sola notte di passaggio.",Le lenzuola non erano perfettamente pulite e il bagno era molto umido.,"title: Va bene per un soggiorno di una notte. liked: La struttura si presenta bene all'estero, con I containers tutti colorati e lo staff disponibile e accogliente. Va bene per una sola notte di passaggio. disliked: Le lenzuola non erano perfettamente pulite e il bagno era molto umido.",,0,0,"Dear Guest. Thank you for the review. We will make sure the light in the bath room will be improved, though currently we are you using LED 6w. For the sheets we will make sure to cek laundry result. Appologize for the inconvenient. Thank you."
Sascha,Germany,Superior Double Room,3 nights,Couple,09-15-2023 00:00:00,Poor,3.0,de,Das Personal war sehr lieb und hat bei Fragen oder Anmerkungen direkt geholfen.,"Die Dusche war sehr ekelhaft. Generell war es aufgrund der mangelnden Isolierung sehr kalt, wodurch wir uns erkältet hatten. Wir hatten über die Unterkunft einen Roller gemietet. Im Vergleich zu anderen Orten war es sehr teuer. Die wollten 150k pro Tag. Des Weiteren mussten wir feststellen, dass eine der Bremsen des Rollers während der Fahrt versagt hat. Zum Glück ist nichts passiert, aber es hätte schlimm für uns enden können.","title: Poor. liked: Das Personal war sehr lieb und hat bei Fragen oder Anmerkungen direkt geholfen. disliked: Die Dusche war sehr ekelhaft. Generell war es aufgrund der mangelnden Isolierung sehr kalt, wodurch wir uns erkältet hatten. Wir hatten über die Unterkunft einen Roller gemietet. Im Vergleich zu anderen Orten war es sehr teuer. Die wollten 150k pro Tag. Des Weiteren mussten wir feststellen, dass eine der Bremsen des Rollers während der Fahrt versagt hat. Zum Glück ist nichts passiert, aber es hätte schlimm für uns enden können.",,0,0,"Dear guest. Thank you for you input. Actualy we willb be more appreciate if you good explain clearly what do you mean by the shower is disgusting, Is it moldy, is it cold? As for the rent of the scooter we only help you to organize, actualy you could bargain or communicate direcly. Thank you."
Virginie,France,Superior Double Room,2 nights,Group,08-22-2023 00:00:00,Good,7.0,fr,"Le design du container, le lit et son matelas, la situation géographique excellente",Les nuits sont froides et l'eau de la douche n'est pas chaude longtemps Les enfants font du bruit tard,"title: Good. liked: Le design du container, le lit et son matelas, la situation géographique excellente. disliked: Les nuits sont froides et l'eau de la douche n'est pas chaude longtemps Les enfants font du bruit tard.",,0,0,"Thank you for your positive comments on our container design, comfortable beds, and ideal location. We appreciate your feedback regarding the cold nights and the duration of hot water in the shower. We'll address these concerns to enhance our guests' experience. Our apologies for any disturbance caused by noise; we'll ensure measures are taken to maintain a peaceful environment. We value your insights and hope to welcome you back for an improved stay."
Aline,Indonesia,Superior Double Room,1 night,Family,07-06-2023 00:00:00,Good,7.0,fr,personnel concerné,ne parle pas anglais,title: Good. liked: personnel concerné. disliked: ne parle pas anglais.,,0,0,
Anonymous,Switzerland,,3 nights,Group,09-20-2023 00:00:00,Good,7.0,de,"Grosse Betten, nette Leute, schöne Wohnatmosphäre in der Natur, wenig touristisch","Schimmel, laut in der Nacht, Kalt in der Nacht, heiss am Tag. Dies ist auch aufgrund der Lage im Norden. Man ist ziemlich abgelegen, ohne eigenes Motorrad oder Auto sehr schwierig herum zukommen, Taxis sehr teuer und keine Grabs","title: Good. liked: Grosse Betten, nette Leute, schöne Wohnatmosphäre in der Natur, wenig touristisch. disliked: Schimmel, laut in der Nacht, Kalt in der Nacht, heiss am Tag. Dies ist auch aufgrund der Lage im Norden. Man ist ziemlich abgelegen, ohne eigenes Motorrad oder Auto sehr schwierig herum zukommen, Taxis sehr teuer und keine Grabs.",,0,0,Dear guest. Thank you for the review and appologize for the inconvenient. I am soory for the weather we could not do anything since it is nature effect. As for the remote area it is for those who want to rest after side sightseeing around the area like visiting the water fall. For the transport we could help the guest to organize a scooter/motorcycle. Thank you.
Ricky,Indonesia,Standard Double Room,1 night,Group,09-17-2025 00:00:00,Exceptional,10.0,en,,,title: Exceptional.,title: Exceptional.,0,0,
Michel,Canada,Standard Double Room,1 night,Couple,11-06-2024 00:00:00,Very good,8.0,en-us,,,title: Very good.,title: Very good.,0,0,
Joko,Indonesia,Standard Double Room,1 night,Family,11-05-2023 00:00:00,Superb,9.0,en,,,title: Superb.,title: Superb.,0,0,
Mohib,United Arab Emirates,Superior Double Room,1 night,Couple,11-01-2023 00:00:00,Superb,9.0,en-us,,,title: Superb.,title: Superb.,0,0,
Pratyush,India,Standard Double Room,1 night,Family,10-29-2023 00:00:00,Very good,8.0,en,,,title: Very good.,title: Very good.,0,0,
Radka,Czech Republic,Superior Double Room,3 nights,Couple,05-05-2026 00:00:00,Very good,8.0,cs,,,title: Very good.,,0,0,
Nina,Austria,Superior Double Room,2 nights,Couple,01-08-2025 00:00:00,Very good,8.0,de,,,title: Very good.,,0,0,
Aleksei,Russia,Superior Double Room,1 night,Couple,08-15-2024 00:00:00,Exceptional,10.0,ru,,,title: Exceptional.,,0,0,
Denis,Russia,Superior Double Room,1 night,Couple,05-06-2024 00:00:00,Very good,8.0,ru,,,title: Very good.,,0,0,
Inés,Spain,Superior Double Room,1 night,Group,04-05-2024 00:00:00,Superb,9.0,es,,,title: Superb.,,0,0,
Anaëlle,France,Superior Double Room,2 nights,Couple,03-14-2024 00:00:00,Superb,9.0,fr,,,title: Superb.,,0,0,
David,Spain,Superior Double Room,1 night,Couple,09-10-2023 00:00:00,Very good,8.0,es,,,title: Very good.,,0,0,
Lucie,France,Superior Double Room,1 night,Couple,08-12-2023 00:00:00,Very good,8.0,fr,,,title: Very good.,,0,0,
Josef,Czech Republic,Superior Double Room,2 nights,Couple,08-02-2023 00:00:00,Exceptional,10.0,cs,,,title: Exceptional.,,0,0,
Ida,Indonesia,Superior Double Room,1 night,Couple,07-15-2023 00:00:00,Exceptional,10.0,id,,,title: Exceptional.,,0,0,
Kefi,Tunisia,Superior Double Room,3 nights,Couple,06-16-2023 00:00:00,Very good,8.0,fr,,,title: Very good.,,0,0,
Giovanni,Italy,Superior Double Room,2 nights,Couple,05-14-2023 00:00:00,Very good,8.0,it,,,title: Very good.,,0,0,
Simon,Denmark,Superior Double Room,1 night,Solo traveller,10-27-2024 00:00:00,Pleasant,6.0,da,,,title: Pleasant.,,0,0,
Maria,Portugal,Superior Double Room,2 nights,Solo traveller,10-23-2023 00:00:00,Pleasant,6.0,pt,,,title: Pleasant.,,0,0,
Rohrer,Indonesia,Standard Double Room,1 night,Couple,09-13-2023 00:00:00,Good,7.0,de,,,title: Good.,,0,0,
Iván,Spain,Superior Double Room,1 night,Couple,08-18-2023 00:00:00,Poor,3.0,es,,,title: Poor.,,0,0,
